"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","24236","test_run[test_case2]","AT/de","Mon Apr 28 10:44:07 UTC 2025","passed","Mon Apr 28 10:44:31 UTC 2025","V223 - S-CLASS (SALOON-LONG)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","64316","test_run[test_case0]","AT/de","Mon Apr 28 11:33:54 UTC 2025","failed","Mon Apr 28 11:34:58 UTC 2025","V223 - S-CLASS (SALOON-LONG)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","156207","test_run[test_case15]","AT/de","Mon Apr 28 12:38:58 UTC 2025","failed","Mon Apr 28 12:41:34 UTC 2025","X254 - GLC (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","124045","test_run[test_case4]","AT/de","Mon Apr 28 11:45:45 UTC 2025","passed","Mon Apr 28 11:47:49 UTC 2025","X247-fl - GLB (SUV)","BFV2","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","8617","test_run[test_case23]","AT/de","Mon Apr 28 12:38:51 UTC 2025","skipped","Mon Apr 28 12:38:59 UTC 2025","X243-fl - EQB (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","126360","test_run[test_case8]","AT/de","Mon Apr 28 10:57:45 UTC 2025","failed","Mon Apr 28 10:59:51 UTC 2025","W214 - E-CLASS (SALOON)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","95888","test_run[test_case16]","AT/de","Mon Apr 28 11:24:00 UTC 2025","passed","Mon Apr 28 11:25:36 UTC 2025","W206 - C-CLASS (SALOON)","BFV1","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","24730","test_run[test_case9]","AT/de","Mon Apr 28 12:25:06 UTC 2025","skipped","Mon Apr 28 12:25:31 UTC 2025","C167-fl - GLE-COUPE (SUV)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","27386","test_run[test_case1]","AT/de","Mon Apr 28 12:14:34 UTC 2025","skipped","Mon Apr 28 12:15:01 UTC 2025","W223 - S-CLASS (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","2","test_run[test_case1]","","Mon Apr 28 11:27:03 UTC 2025","passed","Mon Apr 28 11:27:03 UTC 2025","","QAAppAllure","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","43818","test_run[test_case16]","AT/de","Mon Apr 28 12:41:34 UTC 2025","skipped","Mon Apr 28 12:42:18 UTC 2025","N465 - G-CLASS-ELECTRIC (SUV)","BFV3","",""
"❌ Skipping test 'BFV1' due to lack of CONFIGURATOR URL.","33057","test_run[test_case28]","AT/de","Mon Apr 28 11:15:46 UTC 2025","skipped","Mon Apr 28 11:16:19 UTC 2025","X296 - EQS (SUV)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","2","test_run[test_case2]","","Mon Apr 28 11:43:41 UTC 2025","passed","Mon Apr 28 11:43:41 UTC 2025","","QAAppAllure","",""
