"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","355872","test_run[test_case59]","IT/it","Wed Apr 23 23:42:11 UTC 2025","passed","Wed Apr 23 23:48:07 UTC 2025","X296 - EQS (SUV)","BFV3","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","39168","test_run[test_case75]","IT/it","Wed Apr 23 23:44:48 UTC 2025","passed","Wed Apr 23 23:45:27 UTC 2025","V297 - EQS (SALOON)","Last Configuration Started","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","46903","test_run[test_case170]","IT/it","Thu Apr 24 00:13:50 UTC 2025","passed","Thu Apr 24 00:14:37 UTC 2025","C167-fl - GLE-COUPE (SUV)","Last Seen PDP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","42888","test_run[test_case109]","IT/it","Wed Apr 23 23:53:37 UTC 2025","passed","Wed Apr 23 23:54:20 UTC 2025","X167-fl - GLS (SUV)","Last Configuration Completed","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","89055","test_run[test_case139]","IT/it","Thu Apr 24 00:08:16 UTC 2025","passed","Thu Apr 24 00:09:45 UTC 2025","W214 - E-CLASS (SALOON)","Last Seen SRP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","39814","test_run[test_case114]","IT/it","Wed Apr 23 23:57:07 UTC 2025","passed","Wed Apr 23 23:57:47 UTC 2025","X254 - GLC (SUV)","Last Configuration Completed","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","303256","test_run[test_case181]","IT/it","Thu Apr 24 00:21:42 UTC 2025","passed","Thu Apr 24 00:26:45 UTC 2025","V223 - S-CLASS (SALOON)","Last Seen PDP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","46653","test_run[test_case131]","IT/it","Thu Apr 24 00:02:45 UTC 2025","passed","Thu Apr 24 00:03:31 UTC 2025","W223 - S-CLASS (SALOON)","Last Seen SRP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","343979","test_run[test_case136]","IT/it","Thu Apr 24 00:04:44 UTC 2025","passed","Thu Apr 24 00:10:28 UTC 2025","V223 - S-CLASS (SALOON)","Last Seen SRP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","1960","test_run[test_case96]","IT/it","Wed Apr 23 23:55:28 UTC 2025","broken","Wed Apr 23 23:55:30 UTC 2025","V177-fl - A-CLASS (SALOON)","Last Configuration Started","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","47039","test_run[test_case105]","IT/it","Wed Apr 23 23:57:38 UTC 2025","passed","Wed Apr 23 23:58:25 UTC 2025","V223 - S-CLASS (SALOON)","Last Configuration Completed","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","40759","test_run[test_case151]","IT/it","Thu Apr 24 00:10:00 UTC 2025","passed","Thu Apr 24 00:10:41 UTC 2025","H243-fl - EQA (SUV)","Last Seen SRP","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","36307","test_run[test_case77]","IT/it","Wed Apr 23 23:46:02 UTC 2025","passed","Wed Apr 23 23:46:38 UTC 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Started","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","39043","test_run[test_case101]","IT/it","Wed Apr 23 23:54:54 UTC 2025","passed","Wed Apr 23 23:55:33 UTC 2025","X247-fl - GLB (SUV)","Last Configuration Completed","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","119265","test_run[test_case22]","IT/it","Wed Apr 23 23:43:05 UTC 2025","passed","Wed Apr 23 23:45:05 UTC 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","BFV2","",""
"
    Runs a test for each test case, either manually defined or dynamically fetched.
    ","50737","test_run[test_case16]","IT/it","Wed Apr 23 23:34:59 UTC 2025","passed","Wed Apr 23 23:35:50 UTC 2025","C167-fl - GLE-COUPE (SUV)","BFV2","",""
